date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:30	118745/118745	---M--	200	added ('OK')	image/jpeg	etag:%221cfd9-55f3692d40f25%22	http://ipci.in/uploads/products/categories/1.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/categories/1.jpg	(from http://ipci.in/Household-pest-Control-1.html)
17:32:31	14076/14076	---MCZ	200	added ('OK')	text/html	etag:W/%2236fc-56b85d9033d47%22	http://ipci.in/12_Sub-Terranean-Termites.html	C:/My%20Web%20Sites/IPCI/ipci.in/12_Sub-Terranean-Termites.html	(from http://ipci.in/Anti-Termite-Control-25.html)
17:32:33	5627/5627	---M--	200	added ('OK')	image/jpeg	etag:%2215fb-55f368ea94c40%22	http://ipci.in/uploads/products/12.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/12.jpg	(from http://ipci.in/Anti-Termite-Control-25.html)
17:32:34	11631/11631	---MCZ	200	added ('OK')	text/html	etag:W/%222d6f-56b85d7e7f570%22	http://ipci.in/11_Dry-Wood-Termites.html	C:/My%20Web%20Sites/IPCI/ipci.in/11_Dry-Wood-Termites.html	(from http://ipci.in/Anti-Termite-Control-25.html)
17:32:35	4718/4718	---M--	200	added ('OK')	image/jpeg	etag:%22126e-55f368ea87d38%22	http://ipci.in/uploads/products/11.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/11.jpg	(from http://ipci.in/Anti-Termite-Control-25.html)
17:32:37	122191/122191	---M--	200	added ('OK')	image/jpeg	etag:%221dd4f-55f3692d7bc8e%22	http://ipci.in/uploads/products/categories/2.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/categories/2.jpg	(from http://ipci.in/Commercial-pest-Control-2.html)
17:32:37	105024/105024	---M--	200	added ('OK')	image/jpeg	etag:%2219a40-55f3692dd69b0%22	http://ipci.in/uploads/products/categories/4.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/categories/4.jpg	(from http://ipci.in/Rat-%26Rodent-Control-4.html)
17:32:38	11665/11665	---MCZ	200	added ('OK')	text/html	etag:W/%222d91-56b85da33e5cd%22	http://ipci.in/15_Indoor-Mosquitoes-Control.html	C:/My%20Web%20Sites/IPCI/ipci.in/15_Indoor-Mosquitoes-Control.html	(from http://ipci.in/Mosquito-%26-Flies-Control-6.html)
17:32:39	10649/10649	---MCZ	200	added ('OK')	text/html	etag:W/%222999-56b85db8fefd6%22	http://ipci.in/16_Outdoor-Mosquito-Control.html	C:/My%20Web%20Sites/IPCI/ipci.in/16_Outdoor-Mosquito-Control.html	(from http://ipci.in/Mosquito-%26-Flies-Control-6.html)
17:32:39	4100/4100	---M--	200	added ('OK')	image/jpeg	etag:%221004-55f368ea88cd8%22	http://ipci.in/uploads/products/15.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/15.jpg	(from http://ipci.in/Mosquito-%26-Flies-Control-6.html)
17:32:40	5164/5164	---M--	200	added ('OK')	image/jpeg	etag:%22142c-55f368ea94470%22	http://ipci.in/uploads/products/16.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/16.jpg	(from http://ipci.in/Mosquito-%26-Flies-Control-6.html)
17:32:47	46109/46109	---M--	200	added ('OK')	image/jpeg	etag:%22b41d-55f3692e7be3a%22	http://ipci.in/uploads/products/categories/7.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/categories/7.jpg	(from http://ipci.in/Bedbugs-Control-7.html)
17:32:52	104707/104707	---M--	200	added ('OK')	image/jpeg	etag:%2219903-55f3692e98743%22	http://ipci.in/uploads/products/categories/6.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/categories/6.jpg	(from http://ipci.in/Mosquito-%26-Flies-Control-6.html)
17:32:52	142584/142584	---M--	200	added ('OK')	image/jpeg	etag:%2222cf8-55f3692e50301%22	http://ipci.in/uploads/products/categories/25.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/categories/25.jpg	(from http://ipci.in/Anti-Termite-Control-25.html)
17:32:53	42179/42179	---M--	200	added ('OK')	image/gif	etag:%22a4c3-55f369056412d%22	http://ipci.in/uploads/products/big/1.gif	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/big/1.gif	(from http://ipci.in/1_Cockroach-Control.html)
17:32:57	28761/28761	---M--	200	added ('OK')	image/jpeg	etag:%227059-55f36905b0006%22	http://ipci.in/uploads/products/big/2.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/big/2.jpg	(from http://ipci.in/2_Lizard-control.html)
17:33:01	141816/141816	---M--	200	added ('OK')	image/jpeg	etag:%22229f8-55f3692daa6a7%22	http://ipci.in/uploads/products/categories/8.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/categories/8.jpg	(from http://ipci.in/Anti-Wood-Borer-Treatment-8.html)
17:33:03	61840/61840	---M--	200	added ('OK')	image/jpeg	etag:%22f190-55f36905f517f%22	http://ipci.in/uploads/products/big/3.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/big/3.jpg	(from http://ipci.in/3_General-Disinfestation.html)
17:33:06	52726/52726	---M--	200	added ('OK')	image/jpeg	etag:%22cdf6-55f3690603028%22	http://ipci.in/uploads/products/big/5.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/big/5.jpg	(from http://ipci.in/5_Industrial-Pest-Control.html)
17:33:06	78062/78062	---M--	200	added ('OK')	image/jpeg	etag:%22130ee-55f3690629d40%22	http://ipci.in/uploads/products/big/6.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/big/6.jpg	(from http://ipci.in/6_Warehouse-Pest-Control.html)
17:33:12	64853/64853	---M--	200	added ('OK')	image/jpeg	etag:%22fd55-55f36905f2e57%22	http://ipci.in/uploads/products/big/4.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/big/4.jpg	(from http://ipci.in/4_Corporate-Pest-Control.html)
17:33:12	36190/36190	---M--	200	added ('OK')	image/jpeg	etag:%228d5e-55f3690631658%22	http://ipci.in/uploads/products/big/8.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/big/8.jpg	(from http://ipci.in/8_Baiting-Chemical-Control.html)
17:33:17	68498/68498	---M--	200	added ('OK')	image/jpeg	etag:%2210b92-55f36905db36f%22	http://ipci.in/uploads/products/big/17.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/big/17.jpg	(from http://ipci.in/17_Rat-control-in-open-areas.html)
17:33:20	42723/42723	---M--	200	added ('OK')	image/jpeg	etag:%22a6e3-55f369059004e%22	http://ipci.in/uploads/products/big/11.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/big/11.jpg	(from http://ipci.in/11_Dry-Wood-Termites.html)
17:33:20	110025/110025	---M--	200	added ('OK')	image/jpeg	etag:%221adc9-55f369063e561%22	http://ipci.in/uploads/products/big/7.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/big/7.jpg	(from http://ipci.in/7_Trapping-Non-Chemical-Control.html)
17:33:24	53339/53339	---M--	200	added ('OK')	image/jpeg	etag:%22d05b-55f36905c155f%22	http://ipci.in/uploads/products/big/15.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/big/15.jpg	(from http://ipci.in/15_Indoor-Mosquitoes-Control.html)
17:33:25	93505/93505	---M--	200	added ('OK')	image/jpeg	etag:%2216d41-55f36905bea67%22	http://ipci.in/uploads/products/big/12.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/big/12.jpg	(from http://ipci.in/12_Sub-Terranean-Termites.html)
17:33:27	96150/96150	---M--	200	added ('OK')	image/jpeg	etag:%2217796-55f36905f45c7%22	http://ipci.in/uploads/products/big/16.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/uploads/products/big/16.jpg	(from http://ipci.in/16_Outdoor-Mosquito-Control.html)
